iter,batch_size,epoch,loss,mean_loss,Loss,SSIM,PSNR
0,64,0,1.1168617010116577,,0.5850208360464015,0.009016646892657932,8.95052474630866
1,64,0,0.5975083708763123,,,,
2,64,0,0.40801987051963806,,,,
3,64,0,0.3241406977176666,,,,
4,64,0,0.24923083186149597,,,,
5,64,0,0.20097282528877258,,,,
6,64,0,0.16572628915309906,,,,
7,64,0,0.1340879201889038,,,,
8,64,0,0.10885592550039291,,,,
9,64,0,0.09159454703330994,,,,
10,64,0,0.09356512874364853,,,,
11,64,0,0.09415652602910995,,,,
12,64,0,0.08230208605527878,,,,
13,64,0,0.08716684579849243,,,,
14,64,0,0.08260457962751389,,,,
15,64,0,0.07385124266147614,,,,
16,64,0,0.07539509981870651,,,,
17,64,0,0.07654096186161041,,,,
18,64,0,0.06612635403871536,,,,
19,64,0,0.06528043001890182,,,,
20,64,0,0.06365199387073517,,,,
21,64,0,0.061644747853279114,,,,
22,64,0,0.056210752576589584,,,,
23,64,0,0.05649925023317337,,,,
24,64,0,0.061992596834897995,,,,
25,64,0,0.05794251710176468,,,,
26,64,0,0.05396649241447449,,,,
27,64,0,0.05358222872018814,,,,
28,64,0,0.051887862384319305,,,,
29,64,0,0.04703032225370407,,,,
30,64,0,0.04082228243350983,,,,
31,64,0,0.04814780503511429,,,,
32,64,0,0.044070951640605927,,,,
33,64,0,0.04309394583106041,,,,
34,64,0,0.04538504406809807,,,,
35,64,0,0.04725516587495804,,,,
36,64,0,0.04365925118327141,,,,
37,64,0,0.043372347950935364,,,,
38,64,0,0.046449415385723114,,,,
39,64,0,0.04055804759263992,,,,
40,64,0,0.04749508202075958,,,,
41,64,0,0.04392175376415253,,,,
42,64,0,0.04323185980319977,,,,
43,64,0,0.03830089420080185,,,,
44,64,0,0.03999984264373779,,,,
45,64,0,0.04210207611322403,,,,
46,64,0,0.04386424273252487,,,,
47,64,0,0.042452793568372726,,,,
48,64,0,0.05043387413024902,,,,
49,64,0,0.04537693411111832,,,,
50,64,0,0.04573321342468262,,,,
51,64,0,0.04646658897399902,,,,
52,64,0,0.04379712790250778,,,,
53,64,0,0.04453715309500694,,,,
54,64,0,0.04121888428926468,,,,
55,64,0,0.037126317620277405,,,,
56,64,0,0.0344039723277092,,,,
57,64,0,0.03951185941696167,,,,
58,64,0,0.03662441670894623,,,,
59,64,0,0.040864139795303345,,,,
60,64,0,0.04300281032919884,,,,
61,64,0,0.04014725238084793,,,,
62,64,0,0.0375211164355278,,,,
63,64,0,0.03965367376804352,,,,
64,64,0,0.041056595742702484,,,,
65,64,0,0.048902302980422974,,,,
66,64,0,0.043750207871198654,,,,
67,64,0,0.032900817692279816,,,,
68,64,0,0.03524879366159439,,,,
69,64,0,0.03962118178606033,,,,
70,64,0,0.036965858191251755,,,,
71,64,0,0.031012386083602905,,,,
72,64,0,0.03868022561073303,,,,
73,64,0,0.03425588458776474,,,,
74,64,0,0.029085738584399223,,,,
75,64,0,0.037445321679115295,,,,
76,64,0,0.037224363535642624,,,,
77,64,0,0.03489326685667038,,,,
78,64,0,0.04364959895610809,,,,
79,64,0,0.040105197578668594,,,,
80,64,0,0.038047291338443756,,,,
81,64,0,0.03343139588832855,,,,
82,64,0,0.03555753827095032,,,,
83,64,0,0.03585071861743927,,,,
84,64,0,0.037794675678014755,,,,
85,64,0,0.03283442556858063,,,,
86,64,0,0.034167125821113586,,,,
87,64,0,0.04178705811500549,,,,
88,64,0,0.03695901483297348,,,,
89,64,0,0.03214605897665024,,,,
90,64,0,0.04513401538133621,,,,
91,64,0,0.028896674513816833,,,,
92,64,0,0.03829970955848694,,,,
93,64,0,0.035363927483558655,,,,
94,64,0,0.03744359314441681,,,,
95,64,0,0.038453713059425354,,,,
96,64,0,0.031734250485897064,,,,
97,64,0,0.034348394721746445,,,,
98,64,0,0.032609641551971436,,,,
99,64,0,0.03332049027085304,,,,
100,64,0,0.03563673421740532,,,,
101,64,0,0.03315170854330063,,,,
102,64,0,0.034400731325149536,,,,
103,64,0,0.03521236404776573,,,,
104,64,0,0.03292905539274216,,,,
105,64,0,0.030055567622184753,,,,
106,64,0,0.0353228896856308,,,,
107,64,0,0.040333013981580734,,,,
108,64,0,0.034384265542030334,,,,
109,64,0,0.032801996916532516,,,,
110,64,0,0.0345207154750824,,,,
111,64,0,0.03688354045152664,,,,
112,64,0,0.03849559277296066,,,,
113,64,0,0.042045798152685165,,,,
114,64,0,0.036655016243457794,,,,
115,64,0,0.0361790731549263,,,,
116,64,0,0.0374574214220047,,,,
117,64,0,0.03760425001382828,,,,
118,64,0,0.03213238716125488,,,,
119,64,0,0.03136569261550903,,,,
120,64,0,0.032015856355428696,,,,
121,64,0,0.03418288752436638,,,,
