iter,batch_size,epoch,loss,mean_loss
0,16,0,0.2142522782087326,
1,16,0,0.18002468347549438,
2,16,0,0.1636601984500885,
3,16,0,0.17136654257774353,
4,16,0,0.15739956498146057,
5,16,0,0.18756400048732758,
6,16,0,0.1889125555753708,
7,16,0,0.17650990188121796,
8,16,0,0.16385656595230103,
9,16,0,0.15708787739276886,
10,16,0,0.17856311798095703,
11,16,0,0.1881697177886963,
12,16,0,0.19601640105247498,
13,16,0,0.16577143967151642,
14,16,0,0.13490161299705505,
15,16,0,0.18524691462516785,
16,16,0,0.1547267735004425,
17,16,0,0.16532130539417267,
18,16,0,0.16283218562602997,
19,16,0,0.1521385759115219,
20,16,0,0.1288280487060547,
21,16,0,0.13600318133831024,
22,16,0,0.1533845067024231,
23,16,0,0.14301466941833496,
24,16,0,0.14379256963729858,
25,16,0,0.14442867040634155,
26,16,0,0.16394197940826416,
27,16,0,0.1442459225654602,
28,16,0,0.12559615075588226,
29,16,0,0.1299995481967926,
30,16,0,0.15206938982009888,
31,16,0,0.1463903933763504,
32,16,0,0.1427963674068451,
33,16,0,0.12971283495426178,
34,16,0,0.14425113797187805,
35,16,0,0.14680951833724976,
36,16,0,0.14793244004249573,
37,16,0,0.12629291415214539,
38,16,0,0.1481039673089981,
39,16,0,0.14822830259799957,
40,16,0,0.1456303894519806,
41,16,0,0.15071021020412445,
42,16,0,0.16576582193374634,
43,16,0,0.1299077272415161,
44,16,0,0.14557313919067383,
45,16,0,0.13626262545585632,
46,16,0,0.11433329433202744,
47,16,0,0.13356530666351318,
48,16,0,0.15735578536987305,
49,16,0,0.14816352725028992,
50,16,0,0.1450561285018921,
51,16,0,0.14538052678108215,
52,16,0,0.13257312774658203,
53,16,0,0.16879487037658691,
54,16,0,0.14057579636573792,
55,16,0,0.1316373199224472,
56,16,0,0.16221436858177185,
57,16,0,0.13658732175827026,
58,16,0,0.14251580834388733,
59,16,0,0.12276273965835571,
60,16,0,0.13019496202468872,
61,16,0,0.16355732083320618,
62,16,0,0.13862618803977966,
63,16,0,0.14282849431037903,
64,16,0,0.1487480103969574,
65,16,0,0.14344772696495056,
66,16,0,0.15452206134796143,
67,16,0,0.16152606904506683,
68,16,0,0.1548898071050644,
69,16,0,0.13012266159057617,
70,16,0,0.14303390681743622,
71,16,0,0.15091842412948608,
72,16,0,0.1562015563249588,
73,16,0,0.1407470405101776,
74,16,0,0.13208907842636108,
75,16,0,0.14223630726337433,
76,16,0,0.13319295644760132,
77,16,0,0.1551274061203003,
78,16,0,0.13784699141979218,
79,16,0,0.1503297984600067,
80,16,0,0.13506457209587097,
81,16,0,0.14855945110321045,
82,16,0,0.13484622538089752,
83,16,0,0.16237019002437592,
84,16,0,0.13953755795955658,
85,16,0,0.11768677085638046,
86,16,0,0.1704859435558319,
87,16,0,0.15401503443717957,
88,16,0,0.13345491886138916,
89,16,0,0.14247888326644897,
90,16,0,0.12946784496307373,
91,16,0,0.14599177241325378,
92,16,0,0.12639716267585754,
93,16,0,0.13668060302734375,
94,16,0,0.13531774282455444,
95,16,0,0.13971595466136932,
96,16,0,0.142494797706604,
97,16,0,0.12748347222805023,
98,16,0,0.12912335991859436,
99,16,0,0.12171294540166855,
100,16,0,0.11887894570827484,
101,16,0,0.1209755539894104,
102,16,0,0.13496851921081543,
103,16,0,0.1126558929681778,
104,16,0,0.1364889293909073,
105,16,0,0.1321612000465393,
106,16,0,0.1237381249666214,
107,16,0,0.1462380737066269,
108,16,0,0.13027378916740417,
109,16,0,0.13991224765777588,
110,16,0,0.1232331395149231,
111,16,0,0.1367226541042328,
112,16,0,0.11406409740447998,
113,16,0,0.11940622329711914,
114,16,0,0.11512482166290283,
115,16,0,0.14700084924697876,
116,16,0,0.1362655758857727,
117,16,0,0.1360698640346527,
118,16,0,0.14245548844337463,
119,16,0,0.13940203189849854,
120,16,0,0.12496887147426605,
121,16,0,0.14667688310146332,
122,16,0,0.09935976564884186,
123,16,0,0.1226874515414238,
124,16,0,0.13155916333198547,
125,16,0,0.11926411092281342,
126,16,0,0.11410960555076599,
127,16,0,0.1262466013431549,
128,16,0,0.11932146549224854,
129,16,0,0.1112576574087143,
130,16,0,0.13623979687690735,
131,16,0,0.12137579917907715,
132,16,0,0.13235753774642944,
133,16,0,0.09451860189437866,
134,16,0,0.1307307928800583,
135,16,0,0.10602211207151413,
136,16,0,0.11383111774921417,
137,16,0,0.1103486642241478,
138,16,0,0.12205879390239716,
139,16,0,0.11061471700668335,
140,16,0,0.09344683587551117,
141,16,0,0.1138945072889328,
142,16,0,0.12053599953651428,
143,16,0,0.11919265240430832,
144,16,0,0.10535489022731781,
145,16,0,0.09938716143369675,
146,16,0,0.10634573549032211,
147,16,0,0.10993816703557968,
148,16,0,0.12628325819969177,
149,16,0,0.11445196717977524,
150,16,0,0.12769609689712524,
151,16,0,0.11917783319950104,
152,16,0,0.10973280668258667,
153,16,0,0.10153978317975998,
154,16,0,0.138601154088974,
155,16,0,0.12438925355672836,
156,16,0,0.118144690990448,
157,16,0,0.11256687343120575,
158,16,0,0.1207774206995964,
159,16,0,0.11115507781505585,
160,16,0,0.12733066082000732,
161,16,0,0.12341444939374924,
162,16,0,0.1062675341963768,
163,16,0,0.10961726307868958,
164,16,0,0.11723228543996811,
165,16,0,0.12235717475414276,
166,16,0,0.1053609549999237,
167,16,0,0.11677096784114838,
168,16,0,0.12164343893527985,
169,16,0,0.10026143491268158,
170,16,0,0.11546553671360016,
171,16,0,0.11049812287092209,
172,16,0,0.10900764167308807,
173,16,0,0.12239323556423187,
174,16,0,0.1133737787604332,
175,16,0,0.10966338217258453,
176,16,0,0.10083805024623871,
177,16,0,0.11353340744972229,
178,16,0,0.10714320838451385,
179,16,0,0.10208567976951599,
